#assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,,,,,,,,,
GCA_017897205.1,PRJNA719425,SAMN18607616,JAGJVD000000000.1,na,470,470,Acinetobacter baumannii,strain=INTEC_OZFC7,na,latest,Scaffold,Major,Full,2021/4/10,ASM1789720v1,Instituto Tecnologico de Santo Dominigo (INTEC),GCF_017897205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/897/205/GCA_017897205.1_ASM1789720v1,na,na,na,haploid,bacteria,3841475,3840775,39,0,33,33,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/4/5,3648,3523,72,na,,,,,,,,,
GCA_017897365.1,PRJNA719637,SAMN18614036,JAGKJN000000000.1,na,470,470,Acinetobacter baumannii,strain=ABS12,na,latest,Contig,Major,Full,2021/4/10,ASM1789736v1,Lebanese American University,GCF_017897365.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/897/365/GCA_017897365.1_ASM1789736v1,na,na,na,haploid,bacteria,3909229,3909229,39,0,77,77,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/4/5,3773,3629,79,na,,,,,,,,,
GCA_017897385.1,PRJNA719648,SAMN18614304,JAGKJS000000000.1,na,470,470,Acinetobacter baumannii,strain=ABS30,na,latest,Contig,Major,Full,2021/4/10,ASM1789738v1,Lebanese American University,GCF_017897385.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/897/385/GCA_017897385.1_ASM1789738v1,na,na,na,haploid,bacteria,3919951,3919951,39,0,94,94,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/4/5,3791,3639,82,na,,,,,,,,,
GCA_017897485.1,PRJNA719644,SAMN18614289,JAGKJQ000000000.1,na,470,470,Acinetobacter baumannii,strain=ABS26,na,latest,Contig,Major,Full,2021/4/10,ASM1789748v1,Lebanese American University,GCF_017897485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/897/485/GCA_017897485.1_ASM1789748v1,na,na,na,haploid,bacteria,3914811,3914811,39,0,93,93,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/4/5,3778,3637,76,na,,,,,,,,,
GCA_017897505.1,PRJNA719643,SAMN18614283,JAGKJP000000000.1,na,470,470,Acinetobacter baumannii,strain=ABS24,na,latest,Contig,Major,Full,2021/4/10,ASM1789750v1,Lebanese American University,GCF_017897505.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/897/505/GCA_017897505.1_ASM1789750v1,na,na,na,haploid,bacteria,3908917,3908917,39,0,77,77,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/4/5,3765,3623,79,na,,,,,,,,,
GCA_017939285.1,PRJNA719938,SAMN18628960,JAGKRL000000000.1,na,470,470,Acinetobacter baumannii,strain=MarinaZ4,na,latest,Scaffold,Major,Full,2021/4/13,ASM1793928v1,Nanyang Technological University,GCF_017939285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/939/285/GCA_017939285.1_ASM1793928v1,na,na,na,haploid,bacteria,3906238,3905696,39,0,55,55,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/4/8,3720,3603,79,na,,,,,,,,,
GCA_017948605.1,PRJNA640273,SAMN16660006,JADLSO000000000.1,na,470,470,Acinetobacter baumannii,strain=F489,na,latest,Contig,Major,Full,2021/4/14,ASM1794860v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/948/605/GCA_017948605.1_ASM1794860v1,from large multi-isolate project,na,na,haploid,bacteria,3950365,3950365,39,0,87,87,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3871,3740,69,na,,,,,,,,,
GCA_017948625.1,PRJNA640273,SAMN16660004,JADLSP000000000.1,na,470,470,Acinetobacter baumannii,strain=F290,na,latest,Contig,Major,Full,2021/4/14,ASM1794862v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/948/625/GCA_017948625.1_ASM1794862v1,from large multi-isolate project,na,na,haploid,bacteria,3994705,3994705,39,0,74,74,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3847,3679,71,na,,,,,,,,,
GCA_017948695.1,PRJNA640273,SAMN16660003,JADLSQ000000000.1,na,470,470,Acinetobacter baumannii,strain=F250,na,latest,Contig,Major,Full,2021/4/14,ASM1794869v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/948/695/GCA_017948695.1_ASM1794869v1,from large multi-isolate project,na,na,haploid,bacteria,3994663,3994663,39,0,72,72,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3838,3673,67,na,,,,,,,,,
GCA_017948715.1,PRJNA640273,SAMN16660001,JADLSS000000000.1,na,470,470,Acinetobacter baumannii,strain=F138,na,latest,Contig,Major,Full,2021/4/14,ASM1794871v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/948/715/GCA_017948715.1_ASM1794871v1,from large multi-isolate project,na,na,haploid,bacteria,3970459,3970459,39,0,80,80,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3881,3755,64,na,,,,,,,,,
GCA_017948735.1,PRJNA640273,SAMN16660002,JADLSR000000000.1,na,470,470,Acinetobacter baumannii,strain=F208,na,latest,Contig,Major,Full,2021/4/14,ASM1794873v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/948/735/GCA_017948735.1_ASM1794873v1,from large multi-isolate project,na,na,haploid,bacteria,4076171,4076171,39,0,86,86,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3992,3869,67,na,,,,,,,,,
GCA_017948755.1,PRJNA640273,SAMN16660000,JADLST000000000.1,na,470,470,Acinetobacter baumannii,strain=E431,na,latest,Contig,Major,Full,2021/4/14,ASM1794875v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/948/755/GCA_017948755.1_ASM1794875v1,from large multi-isolate project,na,na,haploid,bacteria,3995723,3995723,39,0,79,79,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3848,3680,71,na,,,,,,,,,
GCA_017948795.1,PRJNA640273,SAMN16659998,JADLSV000000000.1,na,470,470,Acinetobacter baumannii,strain=E360,na,latest,Contig,Major,Full,2021/4/14,ASM1794879v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/948/795/GCA_017948795.1_ASM1794879v1,from large multi-isolate project,na,na,haploid,bacteria,3995075,3995075,39,0,73,73,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3838,3675,66,na,,,,,,,,,
GCA_017948815.1,PRJNA640273,SAMN16659997,JADLSW000000000.1,na,470,470,Acinetobacter baumannii,strain=D237,na,latest,Contig,Major,Full,2021/4/14,ASM1794881v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/948/815/GCA_017948815.1_ASM1794881v1,from large multi-isolate project,na,na,haploid,bacteria,3948398,3948398,39,0,74,74,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3772,3610,63,na,,,,,,,,,
GCA_017948875.1,PRJNA640273,SAMN16659995,JADLSY000000000.1,na,470,470,Acinetobacter baumannii,strain=B249,na,latest,Contig,Major,Full,2021/4/14,ASM1794887v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/948/875/GCA_017948875.1_ASM1794887v1,from large multi-isolate project,na,na,haploid,bacteria,4047080,4047080,39,0,73,73,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3930,3804,62,na,,,,,,,,,
GCA_017948895.1,PRJNA640273,SAMN16659991,JADLTA000000000.1,na,470,470,Acinetobacter baumannii,strain=G477,na,latest,Contig,Major,Full,2021/4/14,ASM1794889v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/948/895/GCA_017948895.1_ASM1794889v1,from large multi-isolate project,na,na,haploid,bacteria,4077420,4077420,39,0,86,86,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3997,3878,70,na,,,,,,,,,
GCA_017948915.1,PRJNA640273,SAMN16659986,JADLTE000000000.1,na,470,470,Acinetobacter baumannii,strain=G422,na,latest,Contig,Major,Full,2021/4/14,ASM1794891v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/948/915/GCA_017948915.1_ASM1794891v1,from large multi-isolate project,na,na,haploid,bacteria,3928685,3928685,39,0,67,67,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3743,3596,66,na,,,,,,,,,
GCA_017948925.1,PRJNA640273,SAMN16659990,JADLTB000000000.1,na,470,470,Acinetobacter baumannii,strain=G453,na,latest,Contig,Major,Full,2021/4/14,ASM1794892v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/948/925/GCA_017948925.1_ASM1794892v1,from large multi-isolate project,na,na,haploid,bacteria,4094032,4094032,39,0,88,88,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,4024,3895,73,na,,,,,,,,,
GCA_017948955.1,PRJNA640273,SAMN16659989,JADLTC000000000.1,na,470,470,Acinetobacter baumannii,strain=G435,na,latest,Contig,Major,Full,2021/4/14,ASM1794895v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/948/955/GCA_017948955.1_ASM1794895v1,from large multi-isolate project,na,na,haploid,bacteria,3862057,3862057,39,0,53,53,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3692,3576,65,na,,,,,,,,,
GCA_017948965.1,PRJNA640273,SAMN16659987,JADLTD000000000.1,na,470,470,Acinetobacter baumannii,strain=G423,na,latest,Contig,Major,Full,2021/4/14,ASM1794896v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/948/965/GCA_017948965.1_ASM1794896v1,from large multi-isolate project,na,na,haploid,bacteria,4076217,4076217,39,0,93,93,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,4002,3877,73,na,,,,,,,,,
GCA_017948975.1,PRJNA640273,SAMN16659985,JADLTF000000000.1,na,470,470,Acinetobacter baumannii,strain=G420,na,latest,Contig,Major,Full,2021/4/14,ASM1794897v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/948/975/GCA_017948975.1_ASM1794897v1,from large multi-isolate project,na,na,haploid,bacteria,4038102,4038102,39,0,67,67,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3945,3813,74,na,,,,,,,,,
GCA_017949015.1,PRJNA640273,SAMN16659984,JADLTG000000000.1,na,470,470,Acinetobacter baumannii,strain=G413,na,latest,Contig,Major,Full,2021/4/14,ASM1794901v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/015/GCA_017949015.1_ASM1794901v1,from large multi-isolate project,na,na,haploid,bacteria,3935243,3935243,39,0,71,71,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3759,3608,65,na,,,,,,,,,
GCA_017949035.1,PRJNA640273,SAMN16659981,JADLTH000000000.1,na,470,470,Acinetobacter baumannii,strain=G402,na,latest,Contig,Major,Full,2021/4/14,ASM1794903v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/035/GCA_017949035.1_ASM1794903v1,from large multi-isolate project,na,na,haploid,bacteria,3904538,3904538,39,0,81,81,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3786,3659,62,na,,,,,,,,,
GCA_017949095.1,PRJNA640273,SAMN16659980,JADLTI000000000.1,na,470,470,Acinetobacter baumannii,strain=G398,na,latest,Contig,Major,Full,2021/4/14,ASM1794909v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/095/GCA_017949095.1_ASM1794909v1,from large multi-isolate project,na,na,haploid,bacteria,3965520,3965520,39,0,64,64,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3823,3707,62,na,,,,,,,,,
GCA_017949105.1,PRJNA640273,SAMN16659977,JADLTL000000000.1,na,470,470,Acinetobacter baumannii,strain=G379,na,latest,Contig,Major,Full,2021/4/14,ASM1794910v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/105/GCA_017949105.1_ASM1794910v1,from large multi-isolate project,na,na,haploid,bacteria,3964759,3964759,39,0,89,89,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3877,3749,67,na,,,,,,,,,
GCA_017949135.1,PRJNA640273,SAMN16659976,JADLTM000000000.1,na,470,470,Acinetobacter baumannii,strain=G352,na,latest,Contig,Major,Full,2021/4/14,ASM1794913v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/135/GCA_017949135.1_ASM1794913v1,from large multi-isolate project,na,na,haploid,bacteria,3951513,3951513,39,0,79,79,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3829,3704,67,na,,,,,,,,,
GCA_017949155.1,PRJNA640273,SAMN16659975,JADLTN000000000.1,na,470,470,Acinetobacter baumannii,strain=G324,na,latest,Contig,Major,Full,2021/4/14,ASM1794915v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/155/GCA_017949155.1_ASM1794915v1,from large multi-isolate project,na,na,haploid,bacteria,3949889,3949889,39,0,74,74,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3772,3614,67,na,,,,,,,,,
GCA_017949215.1,PRJNA640273,SAMN16659970,JADLTR000000000.1,na,470,470,Acinetobacter baumannii,strain=G295,na,latest,Contig,Major,Full,2021/4/14,ASM1794921v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/215/GCA_017949215.1_ASM1794921v1,from large multi-isolate project,na,na,haploid,bacteria,3967555,3967555,39,0,76,76,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3828,3707,65,na,,,,,,,,,
GCA_017949235.1,PRJNA640273,SAMN16659972,JADLTQ000000000.1,na,470,470,Acinetobacter baumannii,strain=G320,na,latest,Contig,Major,Full,2021/4/14,ASM1794923v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/235/GCA_017949235.1_ASM1794923v1,from large multi-isolate project,na,na,haploid,bacteria,3828529,3828529,39,0,99,99,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3668,3537,63,na,,,,,,,,,
GCA_017949255.1,PRJNA640273,SAMN16659969,JADLTS000000000.1,na,470,470,Acinetobacter baumannii,strain=G279,na,latest,Contig,Major,Full,2021/4/14,ASM1794925v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/255/GCA_017949255.1_ASM1794925v1,from large multi-isolate project,na,na,haploid,bacteria,3860290,3860290,39,0,54,54,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3690,3579,62,na,,,,,,,,,
GCA_017949275.1,PRJNA640273,SAMN16659959,JADLTW000000000.1,na,470,470,Acinetobacter baumannii,strain=G216,na,latest,Contig,Major,Full,2021/4/14,ASM1794927v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/275/GCA_017949275.1_ASM1794927v1,from large multi-isolate project,na,na,haploid,bacteria,3943078,3943078,39,0,65,65,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3759,3606,69,na,,,,,,,,,
GCA_017949315.1,PRJNA640273,SAMN16659961,JADLTV000000000.1,na,470,470,Acinetobacter baumannii,strain=G221,na,latest,Contig,Major,Full,2021/4/14,ASM1794931v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/315/GCA_017949315.1_ASM1794931v1,from large multi-isolate project,na,na,haploid,bacteria,4010309,4010309,39,0,75,75,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3920,3792,74,na,,,,,,,,,
GCA_017949325.1,PRJNA640273,SAMN16659964,JADLTU000000000.1,na,470,470,Acinetobacter baumannii,strain=G232,na,latest,Contig,Major,Full,2021/4/14,ASM1794932v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/325/GCA_017949325.1_ASM1794932v1,from large multi-isolate project,na,na,haploid,bacteria,4074968,4074968,39,0,89,89,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3996,3877,69,na,,,,,,,,,
GCA_017949355.1,PRJNA640273,SAMN16659957,JADLTX000000000.1,na,470,470,Acinetobacter baumannii,strain=G215_2,na,latest,Contig,Major,Full,2021/4/14,ASM1794935v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/355/GCA_017949355.1_ASM1794935v1,from large multi-isolate project,na,na,haploid,bacteria,3929996,3929996,39,0,76,76,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3819,3687,68,na,,,,,,,,,
GCA_017949375.1,PRJNA640273,SAMN16659951,JADLTZ000000000.1,na,470,470,Acinetobacter baumannii,strain=F94,na,latest,Contig,Major,Full,2021/4/14,ASM1794937v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/375/GCA_017949375.1_ASM1794937v1,from large multi-isolate project,na,na,haploid,bacteria,3983240,3983240,39,0,71,71,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3870,3733,65,na,,,,,,,,,
GCA_017949395.1,PRJNA640273,SAMN16659948,JADLUA000000000.1,na,470,470,Acinetobacter baumannii,strain=F88,na,latest,Contig,Major,Full,2021/4/14,ASM1794939v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/395/GCA_017949395.1_ASM1794939v1,from large multi-isolate project,na,na,haploid,bacteria,3981635,3981635,39,0,94,94,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3891,3765,64,na,,,,,,,,,
GCA_017949415.1,PRJNA640273,SAMN16659955,JADLTY000000000.1,na,470,470,Acinetobacter baumannii,strain=G192,na,latest,Contig,Major,Full,2021/4/14,ASM1794941v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/415/GCA_017949415.1_ASM1794941v1,from large multi-isolate project,na,na,haploid,bacteria,3942122,3942122,39,0,69,69,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3761,3606,69,na,,,,,,,,,
GCA_017949435.1,PRJNA640273,SAMN16659947,JADLUB000000000.1,na,470,470,Acinetobacter baumannii,strain=F86,na,latest,Contig,Major,Full,2021/4/14,ASM1794943v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/435/GCA_017949435.1_ASM1794943v1,from large multi-isolate project,na,na,haploid,bacteria,3993003,3993003,39,0,75,75,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3841,3678,67,na,,,,,,,,,
GCA_017949465.1,PRJNA640273,SAMN16659946,JADLUC000000000.1,na,470,470,Acinetobacter baumannii,strain=F84,na,latest,Contig,Major,Full,2021/4/14,ASM1794946v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/465/GCA_017949465.1_ASM1794946v1,from large multi-isolate project,na,na,haploid,bacteria,3829156,3829156,39,0,66,66,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3679,3559,65,na,,,,,,,,,
GCA_017949485.1,PRJNA640273,SAMN16659943,JADLUF000000000.1,na,470,470,Acinetobacter baumannii,strain=F77,na,latest,Contig,Major,Full,2021/4/14,ASM1794948v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/485/GCA_017949485.1_ASM1794948v1,from large multi-isolate project,na,na,haploid,bacteria,3968952,3968952,39,0,69,69,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3824,3705,64,na,,,,,,,,,
GCA_017949505.1,PRJNA640273,SAMN16659945,JADLUD000000000.1,na,470,470,Acinetobacter baumannii,strain=F81,na,latest,Contig,Major,Full,2021/4/14,ASM1794950v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/505/GCA_017949505.1_ASM1794950v1,from large multi-isolate project,na,na,haploid,bacteria,3959685,3959685,39,0,70,70,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3778,3622,67,na,,,,,,,,,
GCA_017949575.1,PRJNA640273,SAMN16659938,JADLUK000000000.1,na,470,470,Acinetobacter baumannii,strain=F468,na,latest,Contig,Major,Full,2021/4/14,ASM1794957v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/575/GCA_017949575.1_ASM1794957v1,from large multi-isolate project,na,na,haploid,bacteria,3917137,3917137,39,0,69,69,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3724,3561,67,na,,,,,,,,,
GCA_017949585.1,PRJNA640273,SAMN16659940,JADLUI000000000.1,na,470,470,Acinetobacter baumannii,strain=F482,na,latest,Contig,Major,Full,2021/4/14,ASM1794958v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/585/GCA_017949585.1_ASM1794958v1,from large multi-isolate project,na,na,haploid,bacteria,3954724,3954724,39,0,79,79,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3780,3613,68,na,,,,,,,,,
GCA_017949615.1,PRJNA640273,SAMN16659941,JADLUH000000000.1,na,470,470,Acinetobacter baumannii,strain=F484,na,latest,Contig,Major,Full,2021/4/14,ASM1794961v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/615/GCA_017949615.1_ASM1794961v1,from large multi-isolate project,na,na,haploid,bacteria,3905236,3905236,39,0,91,91,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3782,3645,66,na,,,,,,,,,
GCA_017949665.1,PRJNA640273,SAMN16659937,JADLUL000000000.1,na,470,470,Acinetobacter baumannii,strain=F462,na,latest,Contig,Major,Full,2021/4/14,ASM1794966v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/665/GCA_017949665.1_ASM1794966v1,from large multi-isolate project,na,na,haploid,bacteria,3939670,3939670,39,0,71,71,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3785,3635,69,na,,,,,,,,,
GCA_017949695.1,PRJNA640273,SAMN16659933,JADLUN000000000.1,na,470,470,Acinetobacter baumannii,strain=F449,na,latest,Contig,Major,Full,2021/4/14,ASM1794969v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/695/GCA_017949695.1_ASM1794969v1,from large multi-isolate project,na,na,haploid,bacteria,3943882,3943882,39,0,76,76,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3772,3602,69,na,,,,,,,,,
GCA_017949715.1,PRJNA640273,SAMN16659932,JADLUO000000000.1,na,470,470,Acinetobacter baumannii,strain=F447,na,latest,Contig,Major,Full,2021/4/14,ASM1794971v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/715/GCA_017949715.1_ASM1794971v1,from large multi-isolate project,na,na,haploid,bacteria,3989108,3989108,39,0,88,88,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3862,3686,72,na,,,,,,,,,
GCA_017949725.1,PRJNA640273,SAMN16659934,JADLUM000000000.1,na,470,470,Acinetobacter baumannii,strain=F454,na,latest,Contig,Major,Full,2021/4/14,ASM1794972v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/725/GCA_017949725.1_ASM1794972v1,from large multi-isolate project,na,na,haploid,bacteria,4017761,4017761,39,0,97,97,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3918,3797,68,na,,,,,,,,,
GCA_017949745.1,PRJNA640273,SAMN16659931,JADLUP000000000.1,na,470,470,Acinetobacter baumannii,strain=F431,na,latest,Contig,Major,Full,2021/4/14,ASM1794974v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/745/GCA_017949745.1_ASM1794974v1,from large multi-isolate project,na,na,haploid,bacteria,3942787,3942787,39,0,65,65,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3758,3605,67,na,,,,,,,,,
GCA_017949775.1,PRJNA640273,SAMN16659930,JADLUQ000000000.1,na,470,470,Acinetobacter baumannii,strain=F428,na,latest,Contig,Major,Full,2021/4/14,ASM1794977v1,Tel-Aviv Sourasky Medical Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/949/775/GCA_017949775.1_ASM1794977v1,from large multi-isolate project,na,na,haploid,bacteria,3952841,3952841,39,0,59,59,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020/11/10,3789,3634,70,na,,,,,,,,,
